11	filename	x	y	width	height
1	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI\logos\mask.png	896	0	27	22
2	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\JOEBLO.png	0	0	448	200
3	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\PLUMBER.png	448	0	0	0
4	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\NERD.png	0	200	448	200
5	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\DOCTOR.png	448	200	448	200
6	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\COWBOY.png	0	400	448	200
7	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\SWAT.png	448	400	448	200
8	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\MARINE.png	0	600	448	200
9	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\BEAF.png	448	600	448	200
10	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\dialog\12.png	0	800	490	222
11	D:\work3D\callofminizombies\1.0\Assets\Projects\Zombie3D\UI\Textures\UI2\avatar\worker.png	448	0	448	200
